,State,Civil Judge(Junior Division),Civil Judge(Senior Division),District Judge/DJ,Total
0,Andaman and Nicobar,4,3,6,13
1,Andhra Pradesh,37,3,31,71
2,Arunachal Pradesh,2,6,0,8
3,Assam,27,10,21,58
4,Bihar,254,187,159,600
5,Chandigarh,0,0,0,0
6,Chhattisgarh,43,0,45,88
7,D & N Haveli,0,0,1,1
8,Daman & Diu,0,0,0,0
9,Delhi,53,90,59,202
10,Goa,6,2,2,10
11,Gujarat,191,53,114,358
12,Haryana,240,2,59,301
13,Himachal Pradesh,6,7,0,13
14,Jammu & Kashmir,61,2,18,77
15,Jharkhand,118,6,56,180
16,Karnataka,98,75,54,227
17,Kerala,68,0,27,95
18,Ladakh,4,3,1,8
19,Lakshadweep,0,0,1,1
20,Madhya Pradesh,220,165,98,483
21,Maharashtra,198,8,44,250
22,Manipur,13,0,4,17
23,Meghalaya,7,11,30,48
24,Mizoram,18,6,0,24
25,Nagaland,5,3,2,10
26,Odisha,160,18,29,207
27,Puducherry,5,8,2,15
28,Punjab,144,1,54,199
29,Rajasthan,121,90,116,327
30,Sikkim,3,1,3,7
31,Tamil Nadu,149,47,66,262
32,Telangana,20,48,56,124
33,Tripura,13,0,1,14
34,Uttar Pradesh,382,279,485,1146
35,Uttarakhand,13,12,4,29
36,West Bengal,8,47,41,96
